,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
7885,2012-06-08 22:00:00,2,0,1,1,27.88,31.82,41,7.0015,61,230,291
5782,2012-01-16 02:00:00,1,1,0,1,5.74,10.605,46,0.0,3,14,17
4767,2011-11-11 17:00:00,4,1,0,1,13.94,15.15,39,22.0028,24,286,310
6876,2012-04-04 20:00:00,2,0,1,1,26.24,31.06,27,15.0013,39,333,372
5605,2012-01-08 16:00:00,1,0,0,1,16.4,20.455,37,19.9995,58,256,314
5944,2012-02-03 21:00:00,1,0,1,1,13.94,17.425,49,7.0015,8,126,134
1220,2011-03-15 15:00:00,1,0,1,2,15.58,19.695,43,19.0012,24,66,90
2474,2011-06-11 00:00:00,2,0,0,1,28.7,33.335,79,8.9981,28,89,117
1765,2011-04-19 11:00:00,2,0,1,2,22.14,25.76,68,11.0014,19,53,72
2631,2011-06-17 13:00:00,2,0,1,1,30.34,34.09,62,19.0012,48,156,204
6525,2012-03-09 03:00:00,1,0,1,1,18.86,22.725,77,35.0008,0,7,7
10528,2012-12-05 02:00:00,4,0,1,1,18.86,22.725,67,11.0014,2,7,9
1513,2011-04-08 22:00:00,2,0,1,2,12.3,13.635,93,19.9995,9,42,51
3295,2011-08-07 05:00:00,3,0,0,1,28.7,33.335,89,12.998,1,4,5
3684,2011-09-04 10:00:00,3,0,0,1,28.7,33.335,74,8.9981,150,147,297
5658,2012-01-10 22:00:00,1,0,1,1,12.3,15.15,70,6.0032,10,104,114
6007,2012-02-06 13:00:00,1,0,1,1,15.58,19.695,40,15.0013,17,124,141
8377,2012-07-10 10:00:00,3,0,1,1,31.16,35.605,62,12.998,56,134,190
7016,2012-04-10 16:00:00,2,0,1,1,23.78,27.275,21,16.9979,66,296,362
3166,2011-08-01 20:00:00,3,0,1,1,29.52,34.09,62,15.0013,49,256,305
2903,2011-07-09 21:00:00,3,0,0,1,30.34,34.09,58,11.0014,83,155,238
9383,2012-09-14 08:00:00,3,0,1,2,24.6,28.79,78,11.0014,51,715,766
2110,2011-05-14 20:00:00,2,0,0,3,22.14,25.76,94,8.9981,42,115,157
2375,2011-06-06 21:00:00,2,0,1,1,27.06,31.06,57,6.0032,29,160,189
8319,2012-07-08 00:00:00,3,0,0,1,33.62,39.395,56,8.9981,22,125,147
2952,2011-07-11 22:00:00,3,0,1,1,29.52,34.85,74,8.9981,20,70,90
8560,2012-07-18 01:00:00,3,0,1,1,31.16,36.365,66,7.0015,2,14,16
8063,2012-06-16 08:00:00,2,0,0,1,23.78,27.275,64,11.0014,47,157,204
10269,2012-11-13 07:00:00,4,0,1,3,13.12,15.15,87,16.9979,1,106,107
10520,2012-12-04 18:00:00,4,0,1,1,20.5,24.24,63,15.0013,38,693,731
9233,2012-09-08 02:00:00,3,0,0,1,27.06,29.545,89,22.0028,9,68,77
4176,2011-10-06 01:00:00,4,0,1,1,19.68,23.485,63,12.998,5,17,22
617,2011-02-08 21:00:00,1,0,1,1,5.74,5.305,33,31.0009,8,46,54
2487,2011-06-11 13:00:00,2,0,0,1,32.8,37.88,55,12.998,150,237,387
9725,2012-10-09 14:00:00,4,0,1,2,22.14,25.76,64,12.998,43,201,244
4313,2011-10-11 18:00:00,4,0,1,2,24.6,28.79,78,15.0013,46,493,539
5144,2011-12-08 10:00:00,4,0,1,1,10.66,11.365,52,22.0028,1,109,110
7546,2012-05-13 19:00:00,2,0,0,2,27.06,31.06,50,27.9993,107,232,339
745,2011-02-14 10:00:00,1,0,1,1,18.04,21.97,33,15.0013,9,46,55
3574,2011-08-18 20:00:00,3,0,1,1,27.06,30.305,83,7.0015,24,141,165
8856,2012-08-11 09:00:00,3,0,0,1,27.88,31.82,79,12.998,54,217,271
6131,2012-02-11 17:00:00,1,0,0,3,9.02,9.09,69,31.0009,13,131,144
5070,2011-12-05 08:00:00,4,0,1,1,13.12,17.425,93,0.0,12,392,404
9652,2012-10-06 13:00:00,4,0,0,2,26.24,31.06,57,35.0008,310,400,710
9660,2012-10-06 21:00:00,4,0,0,1,18.86,22.725,59,8.9981,78,137,215
1336,2011-04-01 13:00:00,2,0,1,1,14.76,16.665,50,23.9994,18,92,110
5038,2011-12-04 00:00:00,4,0,0,1,12.3,15.91,70,7.0015,19,64,83
4560,2011-11-03 02:00:00,4,0,1,1,13.94,16.665,76,8.9981,2,5,7
5143,2011-12-08 09:00:00,4,0,1,1,9.84,10.605,52,26.0027,7,218,225
5365,2011-12-17 15:00:00,4,0,0,1,11.48,12.88,45,19.0012,33,195,228
8489,2012-07-15 02:00:00,3,0,0,2,27.88,31.82,89,11.0014,29,86,115
8841,2012-08-10 18:00:00,3,0,1,1,31.16,35.605,62,19.9995,88,552,640
5779,2012-01-15 23:00:00,1,0,0,1,6.56,9.85,43,6.0032,3,26,29
7263,2012-05-02 00:00:00,2,0,1,1,24.6,28.79,78,7.0015,4,43,47
1313,2011-03-19 14:00:00,1,0,0,1,20.5,24.24,31,32.9975,168,144,312
10577,2012-12-07 03:00:00,4,0,1,2,10.66,12.88,81,12.998,0,5,5
10564,2012-12-06 14:00:00,4,0,1,1,12.3,15.91,42,6.0032,37,175,212
